"","property_name","address","lat","long","method","location"
"97","Beacon at 601","Beacon at 601, 601 S Alma School Rd , mesa, AZ",33.403517367972,-111.85664841526,"arcgis","mesa"
"98","Brentwood West","Brentwood West, 3104 E Broadway Rd , mesa, AZ",33.408366047502,-111.764481678495,"arcgis","mesa"
"99","Broadway Point 1","Broadway Point 1, 1859 E Broadway Rd , mesa, AZ",33.407771812476,-111.790996488086,"arcgis","mesa"
"100","Broadway Point 2","Broadway Point 2, 1809 E Broadway Rd , mesa, AZ",33.40790483328,-111.792341532089,"arcgis","mesa"
"101","Broadway Vistas Apts","Broadway Vistas Apts, 2107 W Broadway Rd , mesa, AZ",33.407398063414,-111.876855088341,"arcgis","mesa"
"102","Candela Park","Candela Park, 57 N Alma School Rd , mesa, AZ",33.416182046484,-111.856384636767,"arcgis","mesa"
"103","Casa Mesa Estates","Casa Mesa Estates, 1251 S Mesa Dr , mesa, AZ",33.39181095054,-111.822713274426,"arcgis","mesa"
"104","Cimmaron","Cimmaron, 151 E 1st St , mesa, AZ",33.41703427649,-111.826906740585,"arcgis","mesa"
"105","Citrus Gardens MHP","Citrus Gardens MHP, 4065 E University Dr , mesa, AZ",33.422554849378,-111.742893332496,"arcgis","mesa"
"106","Citrus Grove MHP","Citrus Grove MHP, 1007 W Main St , mesa, AZ",33.414790105733,-111.852672459489,"arcgis","mesa"
"107","Citrus Grove MHP","Citrus Grove MHP, 1021 W Main St , mesa, AZ",33.41472112267,-111.853468488834,"arcgis","mesa"
"108","Colores del Sol","Colores del Sol, 510 E McKellips Rd , mesa, AZ",33.45169344612,-111.819880023515,"arcgis","mesa"
"109","Courtyards","Courtyards, 1111 S San Jose , mesa, AZ",33.394208635853,-111.877945741582,"arcgis","mesa"
"110","Date Villa Apts","Date Villa Apts, 1645 N Date , mesa, AZ",33.445588403123,-111.843796694579,"arcgis","mesa"
"111","Del Coronado","Del Coronado, 843 S Longmore , mesa, AZ",33.39949036641,-111.86561168724,"arcgis","mesa"
"112","Deserama Adult Community","Deserama Adult Community, 2343 E Main St , mesa, AZ",33.415302587035,-111.781319880178,"arcgis","mesa"
"113","Desert Leaf Apts","Desert Leaf Apts, 44 S Horne , mesa, AZ",33.413779457758,-111.814307315189,"arcgis","mesa"
"114","Desert Palm Apts","Desert Palm Apts, 210 E Brown Rd , mesa, AZ",33.435145809052,-111.82706901423,"arcgis","mesa"
"115","Discovery at Sunrise Condos","Discovery at Sunrise Condos, 921 W University Dr , mesa, AZ",33.422059939905,-111.851212583413,"arcgis","mesa"
"116","Dorado Canyon","Dorado Canyon, 3300 E Broadway Rd , mesa, AZ",33.409711,-111.760219,"arcgis","mesa"
"117","Emerald Apts","Emerald Apts, 1030 S Dobson Rd , mesa, AZ",33.39569441201,-111.874829936714,"arcgis","mesa"
"118","Encore on First","Encore on First, 25 W 1st Ave , mesa, AZ",33.41284541275,-111.832483221657,"arcgis","mesa"
"119","Escobedo at Verde Vista","Escobedo at Verde Vista, 350, 418, and 450 N Hibbert , mesa, AZ",33.423597097128,-111.826852844947,"arcgis","mesa"
"120","Escobedo at Verde Vista","Escobedo at Verde Vista, 430 and 510 N Pasadena , mesa, AZ",33.424429644541,-111.827750044799,"arcgis","mesa"
"121","Exchange on the 8th","Exchange on the 8th, 604 W 8th Ave , mesa, AZ",33.400669532549,-111.845022045004,"arcgis","mesa"
"122","Fellowship Square","Fellowship Square, 35 W Brown Rd , mesa, AZ",33.43479276329,-111.832461176362,"arcgis","mesa"
"123","Fiesta Village","Fiesta Village, 960 W Southern Ave , mesa, AZ",33.393358668961,-111.852375153383,"arcgis","mesa"
"124","Fiesta Village MHP","Fiesta Village MHP, 235 W Southern Ave , mesa, AZ",33.392767,-111.836894,"arcgis","mesa"
"125","Garden Place","Garden Place, 1360 W Isabella Ave , mesa, AZ",33.384101778913,-111.862342325906,"arcgis","mesa"
"126","Genoa Lakes","Genoa Lakes, 450 S Creston/3320 E University Dr , mesa, AZ",33.422905715845,-111.759777838252,"arcgis","mesa"
"127","Gentry's Walk","Gentry's Walk, 1313 S Val Vista Dr , mesa, AZ",33.390893593147,-111.753615127762,"arcgis","mesa"
"128","Indigo Lofts","Indigo Lofts, 715-737 E Brown Rd , mesa, AZ",33.435346932819,-111.814805703151,"arcgis","mesa"
"129","Island Palms","Island Palms, 5315 E Broadway Rd , mesa, AZ",33.408194344215,-111.716105524318,"arcgis","mesa"
"130","La Mesita","La Mesita, 2254 W Main St , mesa, AZ",33.41498087785,-111.880737334434,"arcgis","mesa"
"131","Legacy on Main","Legacy on Main, 950 W Main St , mesa, AZ",33.415184097092,-111.851780457353,"arcgis","mesa"
"132","Level 550","Level 550, 550 E McKellips Rd , mesa, AZ",33.451660463331,-111.818672023629,"arcgis","mesa"
"133","Los Racimos Condos","Los Racimos Condos, 540 N May , mesa, AZ",33.425173607387,-111.878830451462,"arcgis","mesa"
"134","Madera Point","Madera Point, 445 S Dobson Rd , mesa, AZ",33.406196140408,-111.87434202613,"arcgis","mesa"
"135","Melody on Main","Melody on Main, 145 E Main St , mesa, AZ",33.414859340254,-111.827228689486,"arcgis","mesa"
"136","Mesa Spirit Adult Community","Mesa Spirit Adult Community, 3020 E Main St , mesa, AZ",33.415626829218,-111.766183875392,"arcgis","mesa"
"137","North Country Club Apts","North Country Club Apts, 1505 N Country Club Dr , mesa, AZ",33.442447536365,-111.839630553424,"arcgis","mesa"
"138","Orchards Senior Living","Orchards Senior Living, 108 N Greenfield Rd , mesa, AZ",33.417678006654,-111.736631128814,"arcgis","mesa"
"139","Park Village Apts","Park Village Apts, 2260 N Hobson , mesa, AZ",33.418774641314,-111.81846710118,"arcgis","mesa"
"140","Parkhaven Estates","Parkhaven Estates, 306 S Recker Rd , mesa, AZ",33.410396353998,-111.702135238658,"arcgis","mesa"
"141","Polo Club","Polo Club, 3319 E University Dr , mesa, AZ",33.422514700062,-111.759729809947,"arcgis","mesa"
"142","Primrose","Primrose, 2551 E McKellips Rd , mesa, AZ",33.451609836636,-111.775553753495,"arcgis","mesa"
"143","Residence on First","Residence on First, 63 W 1st Ave , mesa, AZ",33.412870417595,-111.833859541592,"arcgis","mesa"
"144","Rise at Dobson Ranch","Rise at Dobson Ranch, 1325 W Guadalupe , mesa, AZ",33.364039861301,-111.862073266814,"arcgis","mesa"
"145","Rise Broadway","Rise Broadway, 945 W Broadway Rd , mesa, AZ",33.407549314856,-111.85178934217,"arcgis","mesa"
"146","Rise on Country Club","Rise on Country Club, 1903 N Country Club Dr , mesa, AZ",33.449958350253,-111.839524606168,"arcgis","mesa"
"147","Riverview Park Apts","Riverview Park Apts, 745 N Dobson Rd , mesa, AZ",33.428981547909,-111.874070368649,"arcgis","mesa"
"148","Saguaro Sun Adult Community","Saguaro Sun Adult Community, 305 S Val Vista , mesa, AZ",33.409870096208,-111.753533404206,"arcgis","mesa"
"149","San Fernando","San Fernando, 4150 E Main , mesa, AZ",33.41572703487,-111.741689188286,"arcgis","mesa"
"150","San Miguel Apts","San Miguel Apts, 8915 E Guadalupe Rd , mesa, AZ",33.364475929814,-111.641282202509,"arcgis","mesa"
"151","San Piedra","San Piedra, 4510 E Banner Gateway , mesa, AZ",33.383879071746,-111.73378429922,"arcgis","mesa"
"152","San Villante","San Villante, 4760 E Baseline Rd , mesa, AZ",33.379543322781,-111.731243073815,"arcgis","mesa"
"153","Sanctuary on Center Townhomes","Sanctuary on Center Townhomes, 1950 N Center St , mesa, AZ",33.450683384878,-111.83128142349,"arcgis","mesa"
"154","Second Avenue Commons","Second Avenue Commons, 140 S 2nd Ave , mesa, AZ",33.449455672427,-111.847630025042,"arcgis","mesa"
"155","Sorrento Apts","Sorrento Apts, 901 S Dobson Rd , mesa, AZ",33.397655358258,-111.87438192399,"arcgis","mesa"
"156","Southern Ave Villas","Southern Ave Villas, 855 W Southern Ave , mesa, AZ",33.392992086426,-111.849351297994,"arcgis","mesa"
"157","Springhaven","Springhaven, 4220 E Main St , mesa, AZ",33.415701050971,-111.739613158507,"arcgis","mesa"
"158","Station 21","Station 21, 2121 W Main St , mesa, AZ",33.414655911464,-111.877746252286,"arcgis","mesa"
"159","Stone Canyon Apts","Stone Canyon Apts, 5210 E Hampton Ave , mesa, AZ",33.390355810239,-111.718080300706,"arcgis","mesa"
"160","Sun Life Vacation Resort","Sun Life Vacation Resort, 5055 E University Dr , mesa, AZ",33.421721,-111.723934,"arcgis","mesa"
"161","Sunrise Vista MHC","Sunrise Vista MHC, 300 S Val Vista Dr , mesa, AZ",33.40987508344,-111.753966413324,"arcgis","mesa"
"162","Sunspire MHP","Sunspire MHP, 2600 E Allred , mesa, AZ",33.413686,-111.776117,"arcgis","mesa"
