"block_geoid","evict_count"
40131114021,36
40131048025,52
40131090021,93
40134220023,21
40131105012,73
40134213024,142
40134213025,58
40134211024,80
40131148002,5
40138103003,4
40130931052,71
40131159003,12
40131039004,2
40131039001,9
40131055011,51
40131068022,8
40131067012,134
40130609011,20
40134226271,5
40133189001,100
40130609034,16
40131036062,4
40138156024,3
40132168572,24
40132182004,39
40131131002,104
40130719035,4
40131056022,124
40135231031,52
40131170001,47
40136146023,40
40136141001,64
40131077004,69
40130610532,31
40134203021,14
40130610274,34
40134205042,24
40131096022,50
40131106002,70
40130610531,214
40134222031,114
40130610543,158
40133200071,28
40133199034,69
40130610574,75
40130507012,11
40131061003,57
40132173003,37
40130924011,139
40131137012,53
40130610522,92
40133194031,69
40131125042,147
40131033062,28
40131047011,36
40138158003,13
40130609023,23
40132168161,88
40131110001,74
40138128021,37
40133188002,44
40136144003,8
40130830001,54
40131063002,21
40131167201,98
40130715095,35
40131085021,22
40130610142,142
40132168442,43
40131067011,70
40134215022,45
40131033042,23
40131132012,19
40131045013,72
40136124021,24
40131114022,50
40138123002,19
40133200011,51
40131167171,214
40130931041,341
40131167181,15
40134226532,12
40130506113,7
40136193003,38
40131167135,16
40131111002,70
40136192001,136
40130612005,84
40132168451,26
40131085022,36
40130506133,18
40134221031,306
40132180004,36
40131073004,67
40134226601,98
40130820101,66
40133194015,19
40131042271,73
40134218021,19
40134202142,14
40131040001,81
40134209011,11
40139805001,27
40134210011,8
40131057011,53
40131046002,32
40130719103,10
40131101002,44
40131137011,63
40136165002,110
40131085023,78
40131112021,88
40130923082,72
40131089022,34
40131171002,20
40131124011,86
40131129004,39
40134226382,75
40133191012,51
40131092004,64
40131137014,159
40130930012,43
40130820023,90
40130820171,63
40138102001,36
40138155011,45
40131037011,57
40134216011,26
40130405302,12
40131039002,90
40136140002,1
40134211021,33
40131055032,283
40138141003,5
40130610591,2
40138148021,22
40130927112,30
40131100022,128
40136194002,78
40131034001,10
40131162023,1
40134220012,19
40133197101,51
40132172032,12
40131137022,48
40132180003,61
40131046001,76
40131149002,1
40133191013,12
40131043022,288
40136146012,16
40134215011,19
40134207083,50
40131145002,22
40131161001,80
40138108002,31
40131125233,170
40131110004,8
40132168452,166
40131074041,89
40138146003,10
40131052004,81
40131167082,13
40130820222,137
40130820281,60
40133184002,14
40133194013,15
40136184002,22
40138122002,22
40136174003,49
40136176001,177
40133197062,54
40138107002,53
40131107012,53
40134207072,30
40136142002,14
40136179002,23
40133197082,13
40136194001,70
40131049003,4
40138120001,41
40134222193,59
40138107003,24
40134223093,21
40130719151,106
40131105021,81
40138104004,17
40134214002,27
40132168373,58
40134222131,2
40134226342,16
40135230082,6
40138169042,37
40136105001,2
40138176003,11
40131125182,64
40138121001,6
40132168331,30
40130927082,16
40130610541,65
40130929001,27
40130715112,5
40130610281,99
40131167341,26
40130610132,34
40138104002,18
40130820072,28
40131157003,29
40138124006,64
40131071011,22
40134223071,1
40133200021,6
40130820271,97
40131167031,22
40136177003,109
40130931044,27
40130820173,112
40130610111,37
40131164001,44
40131166101,10
40130820251,105
40131123022,82
40131055021,85
40134202083,1
40138162002,26
40131035021,5
40131068013,77
40133198012,127
40134226301,5
40134221033,93
40134222103,6
40130820231,6
40131166181,15
40130820091,20
40130928023,46
40130719062,13
40130927211,30
40132168611,22
40136186003,6
40131042181,10
40134213021,12
40130719104,14
40130719143,9
40135231021,78
40136188002,310
40131065011,8
40131131001,47
40131045021,36
40131042054,267
40131153001,35
40138107004,56
40136167001,48
40138154022,57
40131126021,7
40133199102,57
40131061005,84
40131132021,16
40130610263,17
40136192002,117
40130830003,33
40134224012,15
40131162053,298
40136196021,127
40130928013,106
40131167112,140
40130719132,33
40133201001,32
40210002042,31
40134222164,56
40133200014,77
40130719105,40
40131074021,49
40135230072,61
40131058003,6
40130506215,6
40134222151,69
40132183003,15
40132172043,59
40132179001,21
40131046003,10
40132172041,112
40131074032,67
40134210021,30
40134213042,202
40131167134,20
40131167182,64
40132174004,37
40134222182,12
40131069003,18
40130927132,13
40131139001,41
40130614012,75
40134223021,36
40134225061,31
40131098012,9
40130610631,46
40133191044,29
40132171022,16
40131045011,11
40131075002,5
40131140001,46
40131167351,24
40130822041,34
40132183001,9
40131097072,14
40131125041,39
40134214003,78
40136135001,39
40131166122,14
40131167033,2
40131056012,12
40131072022,13
40134226322,33
40134226211,8
40136146021,5
40131033021,5
40130610241,60
40134226471,71
40138124001,62
40138171022,18
40131167382,28
40130822113,39
40134226154,26
40131042241,90
40138139001,6
40133187002,82
40134224021,33
40131167381,93
40134226552,47
40131113001,64
40131166052,17
40136108001,7
40133197081,64
40138120003,31
40131166204,21
40134222163,25
40130719142,14
40131167252,6
40132168503,83
40134201143,6
40134225071,20
40131131003,121
40134226531,16
40134225142,36
40133193002,23
40136149003,46
40136192003,39
40134226231,32
40131040002,193
40131086021,102
40138144001,21
40138158001,14
40131042062,40
40131032102,32
40131042121,45
40131095002,19
40134211011,23
40134226283,38
40133197053,11
40131033033,6
40131136021,25
40133195004,16
40131074012,87
40134201132,54
40131047024,24
40134221043,73
40131036121,163
40131127003,39
40131153002,123
40131145003,16
40136195002,15
40131097042,7
40136151002,8
40131036041,16
40136169003,38
40131098022,12
40130719121,16
40130610413,14
40134202151,11
40136188004,117
40131158022,91
40132168261,3
40130928024,8
40136150023,13
40131107011,123
40132168213,9
40131097071,110
40130715153,18
40133196001,28
40131096011,9
40131037021,6
40133200013,20
40131042163,10
40131099003,47
40134226372,1
40134206021,6
40130820121,60
40138139002,7
40134219021,14
40133185012,37
40131066001,12
40130923064,4
40130820123,6
40135231022,14
40131032191,47
40131116022,31
40131044021,60
40131083021,28
40136189001,59
40131118004,42
40132176003,29
40134201163,6
40131125103,10
40131084005,16
40136146022,29
40131089023,25
40131088023,35
40131165003,15
40131040004,124
40134207061,4
40131113002,51
40134205052,12
40131139002,13
40134223015,16
40131158012,25
40130718022,4
40131126022,19
40130926003,11
40130930021,11
40135229011,7
40131086011,80
40131042222,35
40131096021,13
40131097061,9
40130820241,6
40130820083,10
40131057021,17
40136158001,3
40136170025,1
40130610332,37
40134216012,23
40138161004,4
40136109022,5
40138134002,28
40131067021,29
40136123022,100
40132168501,2
40138152011,13
40138160021,1
40132178001,49
40130927102,3
40132175011,18
40130405381,8
40132172034,12
40130610552,36
40138103002,11
40136186001,22
40131142001,66
40130610501,9
40136162002,13
40134226573,6
40131167312,3
40131126023,5
40131167192,127
40130923124,96
40132168301,45
40130715173,2
40134226331,11
40138155021,41
40138129001,25
40136156002,34
